Name	Sex	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Daenerys	F	0	0	0	0	0	0	5.75269650800364E-06	1.86951345912226E-05	2.32664405132577E-05	2.22301322936861E-05	2.76487502764875E-05	3.10182356207214E-05	468
Jon	M	0.000150521182757508	0.000134451441872786	0.000130146053925801	0.000116363239909027	0.000118947625111767	9.47448379123933E-05	0.000106013978504639	0.000106122381650176	0.00010172304224401	8.94627275233708E-05	9.6907500969075E-05	8.96708993399038E-05	5023
Tyrion	M	3.03572133292452E-06	3.50525174342459E-06	4.07502321489788E-06	4.45534927579608E-06	2.98046441054542E-06	4.92892220353491E-06	5.47875857905109E-06	1.18219233444496E-05	1.62324003580868E-05	1.68081488074212E-05	1.5877500158775E-05	1.55091178103607E-05	386
Cersei	F	0	0	0	0	0	0	0	0	0	0	0	3.10182356207214E-06	11
Sansa	F	0	0	0	0	0	0	0	3.02421294858013E-06	3.24648007161735E-06	5.4219834862649E-06	7.117500071175E-06	5.63967920376753E-06	89
Arya	F	4.02233076612499E-05	4.98246497815352E-05	5.22112349408791E-05	6.18507311228162E-05	7.39697076435365E-05	0.000105971827376001	0.000207918888074989	0.000312868575953108	0.000420148629268479	0.000444873745048035	0.000518756255187563	0.00060795741816614	10601
Jorah	M	0	0	0	0	0	0	0	0	1.89378004177679E-06	3.52428926607218E-06	3.0112500301125E-06	6.20364712414428E-06	53
Theon	M	1.26488388871855E-06	0	0	1.83455558415133E-06	0	0	3.28725514743065E-06	4.12392674806382E-06	2.97594006564924E-06	3.25319009175894E-06	4.3800000438E-06	6.48563108433266E-06	101
Samwell	M	0	0	0	0	0	0	0	0	0	0	1.642500016425E-06	0	6
Tywin	M	0	0	0	0	0	0	0	0	1.35270002984056E-06	1.35549587156622E-06	1.3687500136875E-06	0	15
Catelyn	F	2.73214919963207E-05	2.50375124530328E-05	2.41954503384561E-05	2.17525876406514E-05	2.51984718346113E-05	2.32754659611371E-05	2.10932205293467E-05	1.42962793932879E-05	1.433862031631E-05	1.30127603670357E-05	7.3912500739125E-06	8.17753484546292E-06	850
