Name	Sex	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	Total
Harry	M	0.000138746599274421	0.000132186546481123	0.000123868937284523	0.000130265450529452	0.000124575596669715	0.000115931932603844	0.000121343297025673	0.000116968706454585	0.000117632476668901	0.000116804042362679	0.000119468902166682	0.000104732385985896	0.000111416930415996	9.70364903047557E-05	0.000100638477759158	9.86262768580486E-05	8.87205996636284E-05	8.90298269095802E-05	9.01765315576621E-05	9.09014420052858E-05	8.16008514682867E-05	0.000102382501023825	0.000111947632194785	9432
Hermione	F	0	0	0	0	0	0	1.33637992319023E-06	4.55027004514403E-06	1.55264342806827E-05	1.41421934699207E-05	1.48360074586075E-05	1.87202815530346E-05	1.67751333435319E-05	1.55360260067982E-05	1.23177303507303E-05	1.00251984718346E-05	1.50605956219122E-05	1.42447723055328E-05	1.29216371439333E-05	1.54207803401824E-05	1.5452652935855E-05	1.94362501943625E-05	2.25587168150701E-05	897
Ron	M	3.46866498186052E-05	3.37322514879214E-05	3.22776518091072E-05	2.801115115769E-05	2.87065505369344E-05	2.51450538752631E-05	2.3520286648148E-05	2.11453725627282E-05	2.2631751663368E-05	1.93800429032247E-05	2.18635899390006E-05	2.32738635524213E-05	1.72758835925926E-05	1.24797585956247E-05	1.65110002573619E-05	1.57151759828759E-05	1.45129375992972E-05	1.61623378082007E-05	1.18219233444496E-05	1.6773480370023E-05	1.05728677982165E-05	1.28662501286625E-05	1.29712621686653E-05	1762
Albus	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1900000219E-06	3.10182356207214E-06	19
Severus	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36914505653748E-06	1.64362757371533E-06	1.37464224935461E-06	1.35270002984056E-06	1.89769422019271E-06	8.7600000876E-06	6.20364712414428E-06	82
Lucius	M	3.82372517685412E-06	9.5986081469695E-06	5.79342468368591E-06	6.52687017266563E-06	4.87469726098885E-06	7.41117377376175E-06	1.25619712779881E-05	1.36508101354321E-05	1.26316753469961E-05	1.83324730165639E-05	2.83706107541793E-05	3.44048417731446E-05	3.50525174342459E-05	3.23454967682519E-05	3.40703179913818E-05	3.46817676863468E-05	3.47762844360519E-05	3.20507376874489E-05	3.43660562338651E-05	3.30058807281097E-05	3.68694877066013E-05	4.35262504352625E-05	3.44020431429819E-05	2034
Draco	M	0	0	2.20701892711844E-06	1.63171754316641E-06	1.89571560149567E-06	3.97027166451522E-06	3.20731181565655E-06	3.21195532598402E-06	3.94739854593627E-06	4.97595696163878E-06	6.50702081517875E-06	5.81846588810534E-06	7.01050348684917E-06	6.62191272420905E-06	5.24158738328951E-06	8.39949061153711E-06	8.76252836183985E-06	1.39708343765803E-05	7.42306814651487E-06	1.13626802506607E-05	9.75957027527681E-06	9.85500009855E-06	1.07153904871583E-05	509
Neville	M	4.91621808452672E-06	6.85614867640679E-06	5.5175473177961E-06	4.35124678177709E-06	5.14551377548823E-06	3.97027166451522E-06	2.9400358310185E-06	4.28260710131203E-06	3.68423864287385E-06	4.45217201830838E-06	4.6850549869287E-06	2.27679099969339E-06	3.75562686795491E-06	2.29220055838006E-06	2.88287306080923E-06	4.06426965074376E-06	2.19063209045996E-06	5.20482065009854E-06	3.8489982981929E-06	2.97594006564924E-06	4.33758678901192E-06	4.6537500465375E-06	3.6657914824489E-06	346
Luna	F	1.36561613459076E-05	1.89229703468827E-05	2.51048402959723E-05	2.801115115769E-05	2.95190000804325E-05	3.81146079793461E-05	4.51696414038297E-05	4.73763410582643E-05	7.13163337299153E-05	9.66383220444583E-05	0.00012415395715361	0.000149762252424276	0.000177766338416533	0.000205279294450481	0.000265748480332778	0.000254965182756659	0.000313260388935774	0.000386800355681007	0.000479200288125015	0.000631710913935543	0.000758806588902772	0.00100274626002746	0.00150015466820216	24508
Fleur	F	0	0	0	0	0	0	0	1.60597766299201E-06	0	1.30946235832599E-06	0	0	1.25187562265164E-06	1.27344475465559E-06	1.31039684582238E-06	2.16761048039667E-06	1.64297406784497E-06	3.28725514743065E-06	2.47435604883829E-06	0	2.98209091744569E-06	3.28500003285E-06	3.10182356207214E-06	95
